# psi logA_t_0 f_t_0 tau_t_0 phi_t_0 logL logPrior
3.999683572760762140e-01 -2.041102343042122769e+01 2.358454901552507579e+02 3.196190059408368644e-03 1.898614858471022293e+00 3.869905158867461432e+04 0.000000000000000000e+00
1.023264484905412441e+00 -2.077206398987115676e+01 2.649089259733172526e+02 6.983767884578496489e-03 2.542904551566851357e+00 3.869906017881265143e+04 0.000000000000000000e+00
3.967319802033719700e-01 -2.080423185980625078e+01 2.592625303778445982e+02 8.690943710692528718e-03 1.458184827791030758e+00 3.869906669929500640e+04 0.000000000000000000e+00
4.271771730296887171e-01 -2.061511791024449991e+01 2.226301075724653344e+02 3.279536913870726919e-03 1.838316301414535836e+00 3.869907113480439875e+04 0.000000000000000000e+00
2.687874311881893519e+00 -2.062440219345099734e+01 2.650939639025165206e+02 5.036969438481365448e-03 5.792008838847062968e+00 3.869908183675028704e+04 0.000000000000000000e+00
2.936537607357434965e+00 -2.055477080351522901e+01 2.582338481544858269e+02 2.089553733161717171e-03 4.214668660554741209e-01 3.869910776025558152e+04 0.000000000000000000e+00
4.143011871814843983e-01 -2.066825122209665722e+01 2.660164251671512829e+02 2.888994190390924578e-03 1.262374841959385430e+00 3.869912118352424295e+04 0.000000000000000000e+00
6.875065098820047904e-01 -2.100718595338242523e+01 2.502243640551588726e+02 1.342638276137729167e-02 2.290358245479934052e+00 3.869912222383478365e+04 0.000000000000000000e+00
1.525790526315140339e+00 -2.051409913077354830e+01 2.384955009023879597e+02 1.912031974853742669e-03 4.159237518943098344e+00 3.869913074287436757e+04 0.000000000000000000e+00
2.287876382322976188e+00 -2.104687583649307570e+01 2.537099067361239690e+02 1.369831796087619437e-02 5.215401430172738273e+00 3.869913605583455501e+04 0.000000000000000000e+00
1.669488765250516815e+00 -2.069951793755777913e+01 2.239948127034566596e+02 4.137163526386479669e-03 4.865045821064408749e+00 3.869914361970405298e+04 0.000000000000000000e+00
2.516201187247351090e+00 -2.094590747650884310e+01 2.523904272019316863e+02 1.280148336121347298e-02 5.852203888360438810e+00 3.869914559414685209e+04 0.000000000000000000e+00
2.433075902442910721e+00 -2.082916536783566741e+01 2.604242706114541761e+02 8.320933671133377146e-03 5.170194180042555487e+00 3.869914605367423792e+04 0.000000000000000000e+00
2.264873890492767217e+00 -2.063072986846173507e+01 2.641177450399516147e+02 4.194648931585512330e-03 4.833337973621983252e+00 3.869914629363259883e+04 0.000000000000000000e+00
4.691160288428821712e-01 -2.081068600970695215e+01 2.350694216460503867e+02 5.017408946343599949e-03 1.693070724198356469e+00 3.869917195175766392e+04 0.000000000000000000e+00
